"control_issn","control_doi","control_comparison_doi","control_title","control_publisher","control_journal","control_volume","control_issue","control_type","control_date","IF","control_is_oa","control_oa_journal","control_oa_evidence","control_oa_host_type","control_score","control_tweets","control_facebook","control_feeds","control_mendeley"
"0036-8075","10.1126/science.1256578","10.1126/science.1250939","Taking the pulse of ocean microbes","American Association for the Advancement of Science (AAAS)","science","345","6193","journal-article","2014-07-10","41.058",FALSE,FALSE,NA,NA,21.35,20,0,0,"81"
"2046-6390","10.1242/bio.20146601","10.1242/bio.20147633","EphA receptors regulate prostate cancer cell dissemination through Vav2-RhoA mediated cell-cell repulsion","The Company of Biologists","biology open","3","6","journal-article","2014-05-03","2.217",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"1553-7358","10.1371/journal.pcbi.1003786","10.1371/journal.pcbi.1003696","Making Biomolecular Simulations Accessible in the Post-Nobel Prize Era","Public Library of Science (PLoS)","plos computational biology","10","8","journal-article","2014-08-14","3.955",TRUE,TRUE,"open (via free pdf)","publisher",6.45,10,0,0,"23"
"1553-7404","10.1371/journal.pgen.1004652","10.1371/journal.pgen.1004697","FHIT Suppresses Epithelial-Mesenchymal Transition (EMT) and Metastasis in Lung Cancer through Modulation of MicroRNAs","Public Library of Science (PLoS)","plos genetics","10","10","journal-article","2014-10-23","5.54",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"23"
"1460-2083","10.1093/hmg/ddv066","10.1093/hmg/ddv028","Mutation in exon 1a of PLEC, leading to disruption of plectin isoform 1a, causes autosomal-recessive skin-only epidermolysis bullosa simplex","Oxford University Press (OUP)","human molecular genetics","24","11","journal-article","2015-02-26","4.902",TRUE,FALSE,"open (via free pdf)","publisher",1,0,0,0,"18"
"1362-4962","10.1093/nar/gku821","10.1093/nar/gku847","Structural and energetic characterization of the major DNA adduct formed from the food mutagen ochratoxin A in the NarI hotspot sequence: influence of adduct ionization on the conformational preferences and implications for the NER propensity","Oxford University Press (OUP)","nucleic acids research","42","18","journal-article","2014-09-13","11.561",TRUE,TRUE,"open (via page says Open Access)","publisher",0.75,3,0,0,"8"
"1553-7404","10.1371/journal.pgen.1004758","10.1371/journal.pgen.1004622","Genome-Wide Association Study of CSF Levels of 59 Alzheimer's Disease Candidate Proteins: Significant Associations with Proteins Involved in Amyloid Processing and Inflammation","Public Library of Science (PLoS)","plos genetics","10","10","journal-article","2014-10-23","5.54",TRUE,TRUE,"oa journal (via doaj)","publisher",6.75,10,0,0,"97"
"1097-6256","10.1038/nn.3671","10.1038/nn.3669","Spontaneous fluctuations in neural responses to heartbeats predict visual detection","Springer Nature","nature neuroscience","17","4","journal-article","2014-03-09","19.912",FALSE,FALSE,NA,NA,72.496,49,0,2,"365"
"1471-2105","10.1186/1471-2105-15-146","10.1186/1471-2105-15-126","GO2MSIG, an automated GO based multi-species gene set generator for gene set enrichment analysis","Springer Nature","bmc bioinformatics","15","1","journal-article","2014-05-17","2.213",TRUE,TRUE,"open (via page says license)","publisher",2,5,0,0,"63"
"1932-6203","10.1371/journal.pone.0098791","10.1371/journal.pone.0100163","A dnaN Plasmid Shuffle Strain for Rapid In Vivo Analysis of Mutant Escherichia coli ß Clamps Provides Insight Into the Role of Clamp in umuDC-Mediated Cold Sensitivity","Public Library of Science (PLoS)","plos one","9","6","journal-article","2014-06-04","2.766",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,NA
"1367-4803","10.1093/bioinformatics/btu846","10.1093/bioinformatics/btv034","rbamtools: an R interface to samtools enabling fast accumulative tabulation of splicing events over multiple RNA-seq samples","Oxford University Press (OUP)","bioinformatics","31","10","journal-article","2015-01-07","5.481",TRUE,FALSE,"open (via free pdf)","publisher",22.8,44,2,0,"44"
"0270-6474","10.1523/jneurosci.1135-14.2014","10.1523/jneurosci.0551-14.2014","a2-Adrenergic Stimulation of the Ventrolateral Preoptic Nucleus Destabilizes the Anesthetic State","Society for Neuroscience","the journal of neuroscience","34","49","journal-article","2014-12-03","5.971",TRUE,FALSE,"open (via free pdf)","publisher",1,1,0,0,"36"
"2045-2322","10.1038/srep06357","10.1038/srep06207","Rectifying Properties of Oligo(Phenylene Ethynylene) Heterometallic Molecular Junctions: Molecular Length and Side Group Effects","Springer Nature","scientific reports","4","1","journal-article","2014-09-15","4.122",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"0890-9369","10.1101/gad.251785.114","10.1101/gad.249763.114","Poly-ADP ribosylation of PTEN by tankyrases promotes PTEN degradation and tumor growth","Cold Spring Harbor Laboratory","genes & development","29","2","journal-article","2014-12-30","9.462",TRUE,FALSE,"open (via page says license)","publisher",1.7,0,0,0,"35"
"1476-1122","10.1038/nmat3872","10.1038/nmat3912","Platinum–cobalt bimetallic nanoparticles in hollow carbon nanospheres for hydrogenolysis of 5-hydroxymethylfurfural","Springer Nature","nature materials","13","3","journal-article","2014-02-20","39.235",FALSE,FALSE,NA,NA,0,0,0,0,NA
"2046-6390","10.1242/bio.20146585","10.1242/bio.20147955","Properties of a non-bioactive fluorescent derivative of differentiation-inducing factor-3, an anti-tumor agent found in Dictyostelium discoideum","The Company of Biologists","biology open","3","4","journal-article","2014-03-29","2.217",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"0906-7590","10.1111/ecog.01612","10.1111/ecog.00976","Geographic variation in the ecological effects of extinction of Australia's Pleistocene megafauna","Wiley","ecography","39","2","journal-article","2015-06-03","4.52",FALSE,FALSE,NA,NA,21.358,14,2,1,"43"
"0962-8436","10.1098/rstb.2013.0454","10.1098/rstb.2013.0252","Organization of early frog embryos by chemical waves emanating from centrosomes","The Royal Society","philosophical transactions of the royal society b: biological sciences","369","1650","journal-article","2014-07-22","5.666",TRUE,FALSE,"open (via free pdf)","publisher",4,1,0,0,"58"
"0006-3223","10.1016/j.biopsych.2015.02.005","10.1016/j.biopsych.2015.02.010","Brain Rhythms Connect Impaired Inhibition to Altered Cognition in Schizophrenia","Elsevier BV","biological psychiatry","77","12","journal-article","2015-02-14","11.984",TRUE,FALSE,"open (via crossref license)","publisher",5.5,4,3,0,"126"
"1553-7404","10.1371/journal.pgen.1005144","10.1371/journal.pgen.1005223","The Functional Interplay Between the t(9;22)-Associated Fusion Proteins BCR/ABL and ABL/BCR in Philadelphia Chromosome-Positive Acute Lymphatic Leukemia","Public Library of Science (PLoS)","plos genetics","11","4","journal-article","2015-04-28","5.54",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"23"
"2167-8359","10.7717/peerj.465","10.7717/peerj.434","Drivers of macroinvertebrate community structure in unmodified streams","PeerJ","peerj","2",NA,"journal-article","2014-06-26","2.118",TRUE,TRUE,"open (via page says license)","publisher",9.718,2,0,1,"58"
"1471-2164","10.1186/1471-2164-15-994","10.1186/1471-2164-15-1031","Genomic analysis offers insights into the evolution of the bovine TRA/TRD locus","Springer Nature","bmc genomics","15","1","journal-article","2014-11-19","3.73",TRUE,TRUE,"open (via page says license)","publisher",1,1,0,0,"3"
"1471-2164","10.1186/1471-2164-15-1071","10.1186/1471-2164-15-966","Highly expressed captured genes and cross-kingdom domains present in Helitrons create novel diversity in Pleurotus ostreatus and other fungi","Springer Nature","bmc genomics","15","1","journal-article","2014-12-05","3.73",TRUE,TRUE,"open (via page says license)","publisher",2.75,7,0,0,"29"
"1932-6203","10.1371/journal.pone.0094140","10.1371/journal.pone.0093987","The Long Term Impact of Cataract Surgery on Quality of Life, Activities and Poverty: Results from a Six Year Longitudinal Study in Bangladesh and the Philippines","Public Library of Science (PLoS)","plos one","9","4","journal-article","2014-04-18","2.766",TRUE,TRUE,"oa journal (via doaj)","publisher",2.85,3,0,0,"38"
"0002-9297","10.1016/j.ajhg.2014.08.004","10.1016/j.ajhg.2014.09.002","Transcriptome Sequencing of a Large Human Family Identifies the Impact of Rare Noncoding Variants","Elsevier BV","the american journal of human genetics","95","3","journal-article","2014-09-04","8.855",TRUE,FALSE,"open (via crossref license)","publisher",49.2,94,1,0,"180"
"1932-6203","10.1371/journal.pone.0097227","10.1371/journal.pone.0099117","High-Throughput Screening for Spermatogenesis Candidate Genes in the AZFc Region of the Y Chromosome by Multiplex Real Time PCR Followed by High Resolution Melting Analysis","Public Library of Science (PLoS)","plos one","9","5","journal-article","2014-05-14","2.766",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,NA
"1537-1719","10.1093/molbev/msu156","10.1093/molbev/msu173","A Model Framework for Identifying Genes that Guide the Evolution of Heterochrony","Oxford University Press (OUP)","molecular biology and evolution","31","8","journal-article","2014-05-10","10.217",TRUE,FALSE,"open (via free pdf)","publisher",0,0,0,0,NA
"1662-5188","10.3389/fncom.2015.00022","10.3389/fncom.2014.00172","A multimodal approach for determining brain networks by jointly modeling functional and structural connectivity","Frontiers Media SA","frontiers in computational neuroscience","9",NA,"journal-article","2015-02-20","2.073",TRUE,TRUE,"open (via page says license)","publisher",6.2,11,1,0,"63"
"1061-4036","10.1038/ng.3205","10.1038/ng.3211","Big data mining yields novel insights on cancer","Springer Nature","nature genetics","47","2","journal-article","2015-01-28","27.125",FALSE,FALSE,NA,NA,10.85,21,0,0,"154"
"1545-7885","10.1371/journal.pbio.1002051","10.1371/journal.pbio.1002042","A Novel TGFß Modulator that Uncouples R-Smad/I-Smad-Mediated Negative Feedback from R-Smad/Ligand-Driven Positive Feedback","Public Library of Science (PLoS)","plos biology","13","2","journal-article","2015-02-09","9.163",TRUE,TRUE,"open (via page says license)","publisher",10.13,3,2,1,"36"
"1362-4962","10.1093/nar/gku1235","10.1093/nar/gku1250","An optimized kit-free method for making strand-specific deep sequencing libraries from RNA fragments","Oxford University Press (OUP)","nucleic acids research","43","1","journal-article","2014-12-13","11.561",TRUE,TRUE,"open (via page says Open Access)","publisher",5.25,4,0,0,"99"
"2296-4185","10.3389/fbioe.2016.00041","10.3389/fbioe.2016.00042","Human Mesenchymal Stem Cell Morphology and Migration on Microtextured Titanium","Frontiers Media SA","frontiers in bioengineering and biotechnology","4",NA,"journal-article","2016-05-10",NA,TRUE,TRUE,"open (via page says license)","publisher",0.5,1,0,0,"15"
"0022-2844","10.1007/s00239-014-9629-9","10.1007/s00239-014-9628-x","Proline Might Have Been the First Amino Acid in the Primitive Genetic Code","Springer Nature","journal of molecular evolution","78","6","journal-article","2014-06-27","1.957",FALSE,FALSE,NA,NA,1.5,2,0,0,"10"
"0006-3495","10.1016/j.bpj.2013.11.4503","10.1016/j.bpj.2014.01.012","ß1a490–508, a 19-Residue Peptide from C-Terminal Tail of Cav1.1 ß1a Subunit, Potentiates Voltage-Dependent Calcium Release in Adult Skeletal Muscle Fibers","Elsevier BV","biophysical journal","106","3","journal-article","2014-02-04","3.495",TRUE,FALSE,"open (via crossref license)","publisher",0,0,0,0,NA
"0027-8424","10.1073/pnas.1315529111","10.1073/pnas.1313285111","Resting-brain functional connectivity predicted by analytic measures of network communication","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","111","2","journal-article","2013-12-31","9.504",TRUE,FALSE,"open (via free pdf)","publisher",47.076,18,0,2,"467"
"0095-3628","10.1007/s00248-014-0544-9","10.1007/s00248-014-0518-y","Characterization of Beta-lactamases in Faecal Enterobacteriaceae Recovered from Healthy Humans in Spain: Focusing on AmpC Polymorphisms","Springer Nature","microbial ecology","70","1","journal-article","2014-12-10","3.614",FALSE,FALSE,NA,NA,1,0,0,0,"23"
"1474-760X",NA,"10.1186/s13059-014-0503-2",NA,NA,NA,NA,NA,NA,NA,"13.214",NA,NA,NA,NA,12.35,17,1,0,NA
"1367-4803","10.1093/bioinformatics/btu656","10.1093/bioinformatics/btu638","CompMap: a reference-based compression program to speed up read mapping to related reference sequences","Oxford University Press (OUP)","bioinformatics","31","3","journal-article","2014-10-05","5.481",TRUE,FALSE,"open (via free pdf)","publisher",2.75,6,0,0,"27"
"0027-8424","10.1073/pnas.1417120111","10.1073/pnas.1404341111","Crystal structure of Mycobacterium tuberculosis ClpP1P2 suggests a model for peptidase activation by AAA+ partner binding and substrate delivery","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","111","43","journal-article","2014-09-30","9.504",TRUE,FALSE,"open (via free pdf)","publisher",38.75,2,0,1,"55"
"1553-7358","10.1371/journal.pcbi.1003910","10.1371/journal.pcbi.1003867","Putting Theory to the Test: Which Regulatory Mechanisms Can Drive Realistic Growth of a Root?","Public Library of Science (PLoS)","plos computational biology","10","10","journal-article","2014-10-30","3.955",TRUE,TRUE,"oa journal (via doaj)","publisher",2.75,6,0,0,"42"
"1474-760X",NA,"10.1186/s13059-014-0550-8",NA,NA,NA,NA,NA,NA,NA,"13.214",NA,NA,NA,NA,12.35,17,1,0,NA
"1460-2059","10.1093/bioinformatics/btu823","10.1093/bioinformatics/btu770","Detection of circular permutations within protein structures using CE-CP","Oxford University Press (OUP)","bioinformatics","31","8","journal-article","2014-12-14","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",4.5,3,0,0,"16"
"0340-6717","10.1007/s004399900105","10.1007/s00439-014-1441-5","Identification of two novel mutations in OCTN2 of three patients with systemic carnitine deficiency","Springer Nature","human genetics","105","1-2","journal-article","2014-04-26","3.93",FALSE,FALSE,NA,NA,0,0,0,0,NA
"2050-6201",NA,"10.1093/emph/eou018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.35,17,1,0,NA
"1355-8382","10.1261/rna.045849.114","10.1261/rna.045286.114","DrosophilaSyncrip modulates the expression of mRNAs encoding key synaptic proteins required for morphology at the neuromuscular junction","Cold Spring Harbor Laboratory","rna","20","10","journal-article","2014-08-30","4.49",TRUE,FALSE,"open (via page says license)","publisher",2.1,5,0,0,"43"
"1932-6203","10.1371/journal.pone.0102821","10.1371/journal.pone.0101851","Coevolutionary Immune System Dynamics Driving Pathogen Speciation","Public Library of Science (PLoS)","plos one","9","7","journal-article","2014-07-23","2.766",TRUE,TRUE,"open (via free pdf)","publisher",6.2,12,0,0,"13"
"1553-7404","10.1371/journal.pgen.1004704","10.1371/journal.pgen.1004692","Targeted Exon Capture and Sequencing in Sporadic Amyotrophic Lateral Sclerosis","Public Library of Science (PLoS)","plos genetics","10","10","journal-article","2014-10-09","5.54",TRUE,TRUE,"open (via page says license)","publisher",4.5,9,0,0,"47"
"1744-4292","10.15252/msb.20145160","10.15252/msb.20145216","A system-level model for the microbial regulatory genome","EMBO","molecular systems biology","10","7","journal-article","2014-07-16","8.5",TRUE,TRUE,"open (via page says license)","publisher",5.85,9,2,0,"115"
