"SOURCETITLE","YEAR","IF"
"journal of neuroinflammation",2014,6.18
"mbio",2014,6.18
"molecular biology and evolution",2017,6.18
"biochimica et biophysica acta - gene regulatory mechanisms",2015,6.18
"journal of infectious diseases",2016,6.18
"journal of experimental botany",2015,6.18
"journal of cerebral blood flow and metabolism",2014,6.17
"cerebral cortex",2012,6.17
"analytical chemistry",2015,6.17
"global ecology and biogeography",2015,6.16
"journal of infectious diseases",2013,6.16
"plos pathogens",2017,6.15
"seminars in cell and developmental biology",2017,6.15
"journal of molecular cell biology",2014,6.15
"critical reviews in plant sciences",2017,6.14
"molecular biology and evolution",2016,6.14
"persoonia: molecular phylogeny and evolution of fungi",2015,6.13
"molecular ecology resources",2013,6.13
"journal of ecology",2015,6.13
"clinical chemistry",2017,6.13
"neurobiology of disease",2014,6.12
"glia",2013,6.12
"science signaling",2014,6.12
"plant journal",2017,6.12
"psychological science",2016,6.11
"methods in ecology and evolution",2017,6.1
"epigenetics and chromatin",2014,6.1
"nature methods",2018,6.1
"embo reports",2016,6.09
"psychological science",2014,6.09
"current biology",2015,6.09
"cancer immunology research",2015,6.09
"biochimica et biophysica acta - bioenergetics",2014,6.09
"dna research",2014,6.09
"analytical chemistry",2017,6.08
"plant journal",2015,6.08
"eurosurveillance",2014,6.06
"astrophysical journal",2013,6.06
"human mutation",2014,6.06
"siam review",2016,6.05
"breast cancer research",2017,6.05
"analytical chemistry",2014,6.05
"diabetologia",2015,6.05
"journal of experimental botany",2016,6.05
"genome medicine",2016,6.04
"archives of toxicology",2014,6.04
"persoonia: molecular phylogeny and evolution of fungi",2014,6.03
"lab on a chip",2016,6.02
"cellular and molecular life sciences",2016,6.02
"plant physiology",2017,6.02
"plos genetics",2016,6.02
"diversity and distributions",2012,6.02
"journal of neurology, neurosurgery and psychiatry",2015,6.02
"journal of thoracic oncology",2014,6.01
"journal of medicinal chemistry",2015,6
"wellcome open research",2017,6
"journal of extracellular vesicles",2013,6
"conservation biology",2017,6
"lab on a chip",2017,6
"annals of intensive care",2012,6
"lab on a chip",2015,6
"clinical microbiology and infection",2013,5.99
"clinical chemistry",2015,5.99
"diversity and distributions",2013,5.99
"plant journal",2016,5.99
"molecular ecology",2014,5.98
"global ecology and biogeography",2017,5.98
"epigenetics and chromatin",2015,5.98
"psychological science",2017,5.98
"eurosurveillance",2015,5.98
"structure",2013,5.97
"journal of ecology",2013,5.97
"psychoneuroendocrinology",2013,5.97
"ieee transactions on biomedical circuits and systems",2012,5.96
"current opinion in virology",2015,5.95
"journal of immunology",2013,5.95
"archives of toxicology",2012,5.94
"journal of neurology, neurosurgery and psychiatry",2013,5.94
"scientific data",2017,5.94
"clinical chemistry",2016,5.92
"frontiers in immunology",2015,5.92
"development (cambridge)",2016,5.92
"clinical epigenetics",2017,5.92
"molecular and cellular proteomics",2012,5.91
"astrophysical journal",2015,5.91
"human mutation",2013,5.91
"journal of cerebral blood flow and metabolism",2013,5.91
"emerging infectious diseases",2013,5.9
"stem cells",2016,5.9
"diabetologia",2012,5.9
"biochimica et biophysica acta - molecular basis of disease",2013,5.9
"nanoscale",2012,5.9
"biochimica et biophysica acta - molecular basis of disease",2016,5.9
"molecular oncology",2014,5.89
"journal of molecular and cellular cardiology",2013,5.89
"emerging infectious diseases",2016,5.89
"cerebral cortex",2016,5.88
"redox biology",2014,5.88
"bioinformatics",2017,5.88
"british journal of cancer",2017,5.88
"astrophysical journal",2012,5.87
"journal of cleaner production",2016,5.87
"journal of neuroscience",2017,5.87
"nature neuroscience",2018,5.86
"bmc biology",2015,5.86
"journal of medicinal chemistry",2013,5.86
"human brain mapping",2014,5.85
"glia",2017,5.85
"breast cancer research",2014,5.85
"biochimica et biophysica acta - molecular basis of disease",2014,5.85
"journals of gerontology - series a biological sciences and medical sciences",2014,5.84
"bioinformatics",2014,5.84
"genetics",2014,5.84
"molecular medicine",2013,5.84
"journal of ecology",2014,5.84
"brain stimulation",2017,5.84
"diabetologia",2017,5.83
"cellular and molecular life sciences",2012,5.83
"elife",2013,5.83
"embo reports",2012,5.83
"faseb journal",2013,5.82
"free radical biology and medicine",2017,5.82
"emerging infectious diseases",2014,5.81
"journal of medicinal chemistry",2014,5.81
"clinical chemistry",2012,5.81
"journal of antimicrobial chemotherapy",2013,5.8
"diabetologia",2016,5.79
"dna research",2015,5.79
"brain connectivity",2013,5.78
"neurobiology of disease",2013,5.78
"current biology",2016,5.77
"seminars in cell and developmental biology",2015,5.77
"briefings in bioinformatics",2013,5.77
"biochimica et biophysica acta - bioenergetics",2013,5.77
"molecular neurobiology",2013,5.77
"biochimica et biophysica acta - molecular basis of disease",2015,5.77
"current opinion in virology",2017,5.76
"cell metabolism",2018,5.76
"journal of chemical theory and computation",2014,5.76
"scientific reports",2014,5.76
"circulation: cardiovascular genetics",2013,5.76
"free radical biology and medicine",2016,5.75
"journal of cleaner production",2015,5.75
"translational psychiatry",2015,5.75
"psychological science",2013,5.75
"journal for immunotherapy of cancer",2016,5.74
"sleep",2013,5.74
"journals of gerontology - series a biological sciences and medical sciences",2015,5.73
"european journal of cancer",2013,5.73
"brain stimulation",2016,5.72
"methods in ecology and evolution",2013,5.72
"neurobiology of aging",2014,5.71
"journal of antimicrobial chemotherapy",2014,5.7
"journal of molecular and cellular cardiology",2016,5.7
"dna research",2013,5.7
"molecular ecology",2015,5.69
"journal of thoracic oncology",2012,5.68
"biochimica et biophysica acta - gene regulatory mechanisms",2016,5.68
"molecular neurodegeneration",2013,5.67
"embo reports",2015,5.67
"journal of ecology",2016,5.67
"methods in ecology and evolution",2016,5.66
"cellular and molecular gastroenterology and hepatology",2017,5.66
"psychoneuroendocrinology",2014,5.66
"dmm disease models and mechanisms",2013,5.66
"dna research",2016,5.65
"pharmacological research",2014,5.65
"immunity",2018,5.64
"new phytologist",2012,5.64
"international journal of epidemiology",2012,5.64
"neuro-oncology",2012,5.64
"scientific reports",2015,5.63
"journal of thoracic oncology",2015,5.63
"journal of chemical theory and computation",2015,5.63
"biochimica et biophysica acta - general subjects",2015,5.62
"ecography",2015,5.62
"biotechnology for biofuels",2016,5.62
"biotechnology for biofuels",2017,5.62
"molecular neurobiology",2014,5.61
"psychological medicine",2014,5.61
"british journal of cancer",2013,5.61
"neurobiology of aging",2015,5.6
"ebiomedicine",2017,5.6
"human brain mapping",2015,5.6
"social cognitive and affective neuroscience",2013,5.59
"human brain mapping",2012,5.59
"genome medicine",2014,5.59
"journal of infectious diseases",2012,5.59
"trac - trends in analytical chemistry",2012,5.59
"plant and cell physiology",2013,5.59
"philosophical transactions of the royal society b: biological sciences",2016,5.58
"journals of gerontology - series a biological sciences and medical sciences",2016,5.58
"molecular plant pathology",2014,5.57
"journal of experimental botany",2012,5.56
"dmm disease models and mechanisms",2012,5.56
"scientific data",2016,5.56
"journal of immunology",2012,5.56
"faseb journal",2012,5.56
"database",2013,5.56
"journal of the royal statistical society. series b: statistical methodology",2012,5.55
"proceedings of the royal society b: biological sciences",2013,5.55
"journal of neuroinflammation",2013,5.55
"epigenetics and chromatin",2016,5.55
"molecular autism",2015,5.55
"bmc biology",2012,5.54
"plant and cell physiology",2014,5.54
"epigenetics",2012,5.54
"oncogenesis",2015,5.53
"journal of proteome research",2013,5.53
"journal of chemical theory and computation",2013,5.53
"molecular oncology",2015,5.53
"journal of cheminformatics",2013,5.53
"stem cells",2017,5.52
"cerebral cortex",2017,5.52
"human mutation",2015,5.51
"dna research",2017,5.51
"pharmacogenomics journal",2012,5.51
"journal of molecular cell biology",2015,5.51
"british journal of cancer",2014,5.51
"cognitive psychology",2014,5.51
"journal of applied ecology",2017,5.5
"human genetics",2015,5.5
"molecular oncology",2016,5.49
"neurobiology of disease",2015,5.49
"autism research",2013,5.49
"lab on a chip",2012,5.49
"acs chemical biology",2014,5.49
"emerging infectious diseases",2017,5.49
"acs chemical biology",2013,5.49
"archives of toxicology",2017,5.48
"journal of immunology",2014,5.48
"biology direct",2014,5.48
"journal of molecular and cellular cardiology",2015,5.48
"neurobiology of aging",2013,5.48
"plos computational biology",2013,5.47
"bioessays",2013,5.47
"human genetics",2014,5.46
"acs synthetic biology",2017,5.46
"emerging infectious diseases",2015,5.46
"brain connectivity",2014,5.46
"human reproduction",2016,5.46
"molecular autism",2017,5.46
"development (cambridge)",2017,5.46
"epigenetics",2013,5.45
"current biology",2012,5.45
"biochimica et biophysica acta - gene regulatory mechanisms",2017,5.45
"depression and anxiety",2015,5.45
"cellular physiology and biochemistry",2016,5.45
"molecular ecology",2013,5.45
"biosensors and bioelectronics",2012,5.45
"environmental modelling and software",2014,5.45
"molecular ecology",2017,5.44
"bioinformatics",2013,5.44
"journal of chemical theory and computation",2017,5.44
"environmental microbiology",2015,5.44
"gastric cancer",2013,5.44
"clinical epigenetics",2014,5.44
"cell chemical biology",2017,5.44
"journal of antimicrobial chemotherapy",2012,5.44
"human mutation",2017,5.44
"journal of molecular and cellular cardiology",2012,5.42
"journal of cerebral blood flow and metabolism",2015,5.42
"molecular and cellular proteomics",2017,5.42
"neurobiology of aging",2012,5.41
"human reproduction",2014,5.41
"annual review of statistics and its application",2015,5.41
"dmm disease models and mechanisms",2014,5.41
"journal of molecular and cellular cardiology",2017,5.41
"molecular and cellular biology",2013,5.41
"faseb journal",2014,5.4
"molecular ecology",2016,5.4
"current opinion in virology",2016,5.4
"human genetics",2013,5.39
"american journal of epidemiology",2014,5.39
"circulation: cardiovascular genetics",2017,5.39
"pharmacogenomics journal",2013,5.39
"psychoneuroendocrinology",2015,5.39
"journal of cleaner production",2017,5.39
"molecular oncology",2017,5.39
"journal of immunology",2015,5.39
"human molecular genetics",2016,5.38
"journal of medicinal chemistry",2012,5.38
"epigenetics and chromatin",2017,5.38
"astrophysical journal",2016,5.38
"proceedings of the royal society b: biological sciences",2014,5.37
"journal of virology",2013,5.37
"neurobiology of disease",2016,5.37
"journal of applied ecology",2016,5.37
"journal of applied ecology",2015,5.36
"journal of investigative dermatology",2014,5.36
"brain stimulation",2013,5.36
"human genetics",2012,5.36
"archives of toxicology",2016,5.35
"rna",2014,5.35
"journal of experimental botany",2017,5.35
"clinical epigenetics",2015,5.35
"neuroimage",2017,5.35
"translational psychiatry",2013,5.35
"ecology",2013,5.34
"soil biology and biochemistry",2016,5.34
"journal of investigative dermatology",2013,5.34
"biochimica et biophysica acta - bioenergetics",2015,5.34
"dna research",2012,5.33
"journal of neuroinflammation",2016,5.33
"journal of neuroinflammation",2017,5.33
"analytical chemistry",2012,5.33
"retrovirology",2012,5.32
"clinical epigenetics",2016,5.32
"epigenetics",2015,5.32
"siam review",2017,5.32
"international journal for parasitology: drugs and drug resistance",2016,5.32
"american journal of obstetrics and gynecology",2014,5.31
"british journal of haematology",2013,5.31
"plant cell and environment",2015,5.31
"faseb journal",2015,5.31
"psychological medicine",2016,5.31
"seminars in cell and developmental biology",2012,5.31
"journal of applied ecology",2013,5.31
"sleep",2014,5.31
"plos genetics",2017,5.31
"frontiers in immunology",2017,5.3
"acta neuropathologica",2018,5.3
"briefings in bioinformatics",2017,5.3
"journal of cerebral blood flow and metabolism",2017,5.3
"emerging microbes and infections",2016,5.3
"philosophical transactions of the royal society b: biological sciences",2017,5.3
"human reproduction",2015,5.29
"acs chemical biology",2015,5.28
"american journal of obstetrics and gynecology",2017,5.28
"acta biomaterialia",2012,5.28
"journal of cognitive neuroscience",2013,5.27
"sleep",2015,5.27
"journal of chemical theory and computation",2016,5.27
"psychological medicine",2017,5.27
"aging cell",2012,5.26
"psychological medicine",2013,5.26
"neurobiology of disease",2017,5.26
"neurobiology of aging",2016,5.26
"journal of biological engineering",2017,5.26
"american journal of epidemiology",2013,5.26
"aging",2015,5.26
"breast cancer research",2015,5.25
"molecular microbiology",2013,5.25
"soil biology and biochemistry",2017,5.25
"analytica chimica acta",2017,5.25
"epigenetics",2017,5.25
"oncotarget",2015,5.25
"biochimica et biophysica acta - molecular basis of disease",2017,5.24
"traffic",2013,5.24
"human reproduction",2013,5.24
"biochemical journal",2013,5.23
"plos neglected tropical diseases",2014,5.23
"neurobiology of disease",2012,5.23
"msystems",2017,5.23
"molecular and cellular biology",2012,5.23
"science of the total environment",2016,5.23
"plos computational biology",2014,5.22
"neuroimage: clinical",2015,5.22
"journal of cell science",2014,5.22
"american journal of pathology",2014,5.21
"epigenetics",2014,5.21
"functional ecology",2017,5.21
"environmental modelling and software",2013,5.21
"frontiers in oncology",2016,5.21
"rna",2012,5.21
"psychological medicine",2015,5.2
"oncotarget",2016,5.2
"journal of molecular cell biology",2017,5.2
"frontiers in molecular neuroscience",2015,5.2
"philosophical transactions of the royal society b: biological sciences",2015,5.2
"journal of neuroinflammation",2015,5.19
"journal of investigative dermatology",2015,5.19
"hormones and behavior",2014,5.19
"open biology",2015,5.18
